time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,city
2026-08-25 00:00:00,21.2,91,0.0,13.7,Bengaluru
2026-08-25 01:00:00,21.0,93,0.0,12.7,Bengaluru
2026-08-25 02:00:00,20.9,93,0.0,12.2,Bengaluru
2026-08-25 03:00:00,20.8,93,0.0,13.7,Bengaluru
2026-08-25 04:00:00,20.6,94,0.0,12.9,Bengaluru
2026-08-25 05:00:00,20.6,94,0.0,12.7,Bengaluru
2026-08-25 06:00:00,20.8,93,0.1,13.8,Bengaluru
2026-08-25 07:00:00,21.0,93,0.2,12.1,Bengaluru
2026-08-25 08:00:00,22.3,85,0.2,15.8,Bengaluru
2026-08-25 09:00:00,23.6,81,0.1,17.6,Bengaluru
2026-08-25 10:00:00,25.1,72,0.2,19.7,Bengaluru
2026-08-25 11:00:00,25.0,72,0.1,19.4,Bengaluru
2026-08-25 12:00:00,26.8,64,0.2,20.2,Bengaluru
2026-08-25 13:00:00,27.3,62,0.3,20.0,Bengaluru
2026-08-25 14:00:00,27.4,61,0.1,20.2,Bengaluru
2026-08-25 15:00:00,26.7,63,0.7,18.8,Bengaluru
2026-08-25 16:00:00,24.9,73,0.5,16.5,Bengaluru
2026-08-25 17:00:00,22.9,81,0.7,14.2,Bengaluru
2026-08-25 18:00:00,23.0,82,0.3,14.8,Bengaluru
2026-08-25 19:00:00,22.7,86,0.0,13.1,Bengaluru
2026-08-25 20:00:00,22.8,84,0.0,14.9,Bengaluru
2026-08-25 21:00:00,22.3,85,0.0,14.3,Bengaluru
2026-08-25 22:00:00,21.9,87,0.0,14.1,Bengaluru
2026-08-25 23:00:00,21.7,88,0.0,14.6,Bengaluru
2026-08-26 00:00:00,21.4,90,0.0,14.7,Bengaluru
2026-08-26 01:00:00,21.3,90,0.0,15.0,Bengaluru
2026-08-26 02:00:00,21.2,90,0.0,15.8,Bengaluru
2026-08-26 03:00:00,21.0,91,0.0,15.9,Bengaluru
2026-08-26 04:00:00,20.9,91,0.0,16.0,Bengaluru
2026-08-26 05:00:00,20.7,91,0.0,15.5,Bengaluru
2026-08-26 06:00:00,20.6,92,0.0,14.4,Bengaluru
2026-08-26 07:00:00,21.6,88,0.0,13.0,Bengaluru
2026-08-26 08:00:00,22.5,84,0.2,17.8,Bengaluru
2026-08-26 09:00:00,23.5,79,0.2,18.7,Bengaluru
2026-08-26 10:00:00,25.0,71,0.1,19.6,Bengaluru
2026-08-26 11:00:00,26.2,66,0.1,20.0,Bengaluru
2026-08-26 12:00:00,27.1,62,0.2,19.1,Bengaluru
2026-08-26 13:00:00,27.7,60,0.2,19.1,Bengaluru
2026-08-26 14:00:00,27.6,63,0.0,18.1,Bengaluru
2026-08-26 15:00:00,27.6,62,0.0,17.6,Bengaluru
2026-08-26 16:00:00,27.0,65,0.1,16.7,Bengaluru
2026-08-26 17:00:00,25.6,71,0.4,14.7,Bengaluru
2026-08-26 18:00:00,24.4,74,0.0,16.0,Bengaluru
2026-08-26 19:00:00,23.4,81,0.0,16.1,Bengaluru
2026-08-26 20:00:00,22.9,82,0.0,17.9,Bengaluru
2026-08-26 21:00:00,22.1,86,0.0,17.6,Bengaluru
2026-08-26 22:00:00,21.4,88,0.0,17.7,Bengaluru
2026-08-26 23:00:00,21.0,90,0.0,17.6,Bengaluru
