time,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m
2026-08-25 00:00:00,21.5,95,0.2,12.2
2026-08-25 01:00:00,21.6,95,0.3,14.1
2026-08-25 02:00:00,21.1,97,0.4,14.3
2026-08-25 03:00:00,20.9,97,0.3,15.6
2026-08-25 04:00:00,20.6,97,0.6,13.4
2026-08-25 05:00:00,21.0,96,0.2,15.0
2026-08-25 06:00:00,21.2,95,0.0,15.0
2026-08-25 07:00:00,21.8,93,0.0,17.5
2026-08-25 08:00:00,22.8,88,0.0,16.4
2026-08-25 09:00:00,24.6,80,0.1,20.5
2026-08-25 10:00:00,25.3,75,0.1,22.3
2026-08-25 11:00:00,25.8,73,0.6,21.3
2026-08-25 12:00:00,27.4,68,0.1,23.1
2026-08-25 13:00:00,27.4,66,0.0,24.9
2026-08-25 14:00:00,26.6,66,0.3,24.8
2026-08-25 15:00:00,25.6,74,0.8,25.0
2026-08-25 16:00:00,25.9,70,0.1,25.4
2026-08-25 17:00:00,24.9,75,0.1,24.8
2026-08-25 18:00:00,23.7,81,0.0,22.0
2026-08-25 19:00:00,22.9,84,0.0,18.7
2026-08-25 20:00:00,22.3,87,0.0,18.1
2026-08-25 21:00:00,22.1,88,0.0,19.1
2026-08-25 22:00:00,22.0,88,0.0,17.7
2026-08-25 23:00:00,22.0,88,0.0,17.2
2026-08-26 00:00:00,21.6,90,0.0,16.9
2026-08-26 01:00:00,21.4,91,0.0,15.8
2026-08-26 02:00:00,21.3,92,0.0,15.8
2026-08-26 03:00:00,21.6,90,0.0,15.5
2026-08-26 04:00:00,21.6,90,0.0,16.9
2026-08-26 05:00:00,21.3,92,0.0,14.7
2026-08-26 06:00:00,21.6,90,0.0,15.1
2026-08-26 07:00:00,22.1,88,0.1,15.8
2026-08-26 08:00:00,23.0,82,0.0,18.8
2026-08-26 09:00:00,24.3,77,0.1,20.2
2026-08-26 10:00:00,24.9,75,0.4,21.4
2026-08-26 11:00:00,26.6,68,0.5,20.8
2026-08-26 12:00:00,27.5,63,0.2,21.6
2026-08-26 13:00:00,27.8,62,0.4,22.7
2026-08-26 14:00:00,27.6,68,0.8,20.0
2026-08-26 15:00:00,26.8,66,0.4,23.7
2026-08-26 16:00:00,25.4,75,0.4,22.2
2026-08-26 17:00:00,25.1,76,0.3,22.4
2026-08-26 18:00:00,23.9,81,0.0,21.4
2026-08-26 19:00:00,23.0,85,0.0,19.1
2026-08-26 20:00:00,22.4,88,0.0,17.5
2026-08-26 21:00:00,22.3,89,0.0,15.9
2026-08-26 22:00:00,22.3,89,0.0,14.5
2026-08-26 23:00:00,22.4,89,0.0,15.9
2026-08-27 00:00:00,22.1,89,0.0,17.6
2026-08-27 01:00:00,21.8,90,0.0,16.0
2026-08-27 02:00:00,21.9,89,0.0,16.3
2026-08-27 03:00:00,21.4,91,0.0,15.2
2026-08-27 04:00:00,21.8,90,0.0,14.5
2026-08-27 05:00:00,21.9,89,0.0,15.7
2026-08-27 06:00:00,21.9,89,0.0,14.2
